Name;FRANCE CAC 40 - PRICE INDEX
21/06/1990;2007.98
22/06/1990;2031.73
25/06/1990;2040.08
26/06/1990;2053.4
27/06/1990;2036.96
28/06/1990;2038.41
29/06/1990;2035.03
02/07/1990;2029.54
03/07/1990;2031.98
04/07/1990;2015.93
05/07/1990;1999.98
06/07/1990;2001.9
09/07/1990;1990.17
10/07/1990;1963.02
11/07/1990;1970.58
12/07/1990;1975.18
13/07/1990;1998.34
16/07/1990;2015.59
17/07/1990;2019.5
18/07/1990;2029.6
19/07/1990;2023.31
20/07/1990;2030.6
23/07/1990;1990.04
24/07/1990;1995.61
25/07/1990;1998.58
26/07/1990;1984.37
27/07/1990;1965.79
30/07/1990;1955.35
31/07/1990;1965.57
01/08/1990;1960.07
02/08/1990;1918.45
03/08/1990;1869.45
06/08/1990;1773.79
07/08/1990;1811.84
08/08/1990;1757.09
09/08/1990;1779.86
10/08/1990;1779.83
13/08/1990;1721.01
14/08/1990;1712.03
15/08/1990;1712.03
16/08/1990;1723.41
17/08/1990;1665
20/08/1990;1611.92
21/08/1990;1546.51
22/08/1990;1586.27
23/08/1990;1553.35
24/08/1990;1617.42
27/08/1990;1699.72
28/08/1990;1680.58
29/08/1990;1698.66
30/08/1990;1723.23
31/08/1990;1690.17
03/09/1990;1644.01
04/09/1990;1620.93
05/09/1990;1638.32
06/09/1990;1609.51
07/09/1990;1619.16
10/09/1990;1661.76
11/09/1990;1653.94
12/09/1990;1648.09
13/09/1990;1646.27
14/09/1990;1614.93
17/09/1990;1604.02
18/09/1990;1579.93
19/09/1990;1570.28
20/09/1990;1540.6
21/09/1990;1543.53
24/09/1990;1502.8
25/09/1990;1485.39
26/09/1990;1499.17
27/09/1990;1523.95
28/09/1990;1491.76
01/10/1990;1540.81
02/10/1990;1572.94
03/10/1990;1567.48
04/10/1990;1552.74
05/10/1990;1551.93
08/10/1990;1586.16
09/10/1990;1551.46
10/10/1990;1540.12
11/10/1990;1541.76
12/10/1990;1575.7
15/10/1990;1598.91
16/10/1990;1601.92
17/10/1990;1616
18/10/1990;1647.67
19/10/1990;1644.7
22/10/1990;1639.95
23/10/1990;1676.17
24/10/1990;1667.24
25/10/1990;1645.99
26/10/1990;1618.58
29/10/1990;1627.9
30/10/1990;1613.59
31/10/1990;1645.57
01/11/1990;1645.57
02/11/1990;1634.8
05/11/1990;1620.57
06/11/1990;1613.49
07/11/1990;1583.46
08/11/1990;1569.86
09/11/1990;1572.83
12/11/1990;1597.34
13/11/1990;1610.13
14/11/1990;1599.13
15/11/1990;1598.02
16/11/1990;1612.1
19/11/1990;1633.65
20/11/1990;1633.15
21/11/1990;1626.97
22/11/1990;1639.68
23/11/1990;1640.06
26/11/1990;1607.24
27/11/1990;1605.92
28/11/1990;1601.25
29/11/1990;1607.06
30/11/1990;1605.12
03/12/1990;1644.87
04/12/1990;1646.53
05/12/1990;1660.44
06/12/1990;1693.52
07/12/1990;1690.71
10/12/1990;1675.01
11/12/1990;1665.54
12/12/1990;1667.85
13/12/1990;1659.4
14/12/1990;1635.52
17/12/1990;1606.23
18/12/1990;1591.65
19/12/1990;1589.32
20/12/1990;1552.72
21/12/1990;1563.97
24/12/1990;1563.97
25/12/1990;1563.97
26/12/1990;1536.89
27/12/1990;1528.9
28/12/1990;1517.93
31/12/1990;1517.93
01/01/1991;1517.93
02/01/1991;1505.1
03/01/1991;1539.5
04/01/1991;1547.66
07/01/1991;1507.87
08/01/1991;1502.77
09/01/1991;1552.19
10/01/1991;1507.09
11/01/1991;1494.94
14/01/1991;1441.17
15/01/1991;1457.27
16/01/1991;1457.77
17/01/1991;1560.47
18/01/1991;1560.27
21/01/1991;1553.57
22/01/1991;1548.64
23/01/1991;1522.39
24/01/1991;1553.77
25/01/1991;1563
28/01/1991;1565.69
29/01/1991;1554.49
30/01/1991;1582.45
31/01/1991;1580.67
01/02/1991;1578.08
04/02/1991;1581.73
05/02/1991;1606.38
06/02/1991;1598.11
07/02/1991;1598.22
08/02/1991;1622.75
11/02/1991;1637.29
12/02/1991;1626.24
13/02/1991;1635.84
14/02/1991;1652.68
15/02/1991;1670.39
18/02/1991;1694.96
19/02/1991;1700.93
20/02/1991;1693.07
21/02/1991;1709.72
22/02/1991;1716.88
25/02/1991;1745.17
26/02/1991;1712.31
27/02/1991;1731.02
28/02/1991;1759.79
01/03/1991;1746.79
04/03/1991;1766.74
05/03/1991;1800.63
06/03/1991;1821.01
07/03/1991;1831.85
08/03/1991;1828.14
11/03/1991;1796.7
12/03/1991;1795.48
13/03/1991;1781.17
14/03/1991;1816.81
15/03/1991;1800.49
18/03/1991;1777.91
19/03/1991;1740.97
20/03/1991;1752.22
21/03/1991;1771.32
22/03/1991;1772.14
25/03/1991;1773.55
26/03/1991;1775.09
27/03/1991;1797.06
28/03/1991;1816.36
29/03/1991;1816.36
01/04/1991;1816.36
02/04/1991;1827.1
03/04/1991;1851.89
04/04/1991;1836.21
05/04/1991;1851.71
08/04/1991;1847.57
09/04/1991;1845.96
10/04/1991;1816.92
11/04/1991;1825.6
12/04/1991;1821.43
15/04/1991;1822.35
16/04/1991;1802.91
17/04/1991;1829.45
18/04/1991;1815.74
19/04/1991;1791.12
22/04/1991;1767.2
23/04/1991;1781.83
24/04/1991;1782.03
25/04/1991;1777.01
26/04/1991;1774.67
29/04/1991;1797.35
30/04/1991;1779.18
01/05/1991;1779.18
02/05/1991;1824.23
